Symbol: QQQ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
9/17/01,26.4376,27.749,26.3023,26.3953,115485258
9/18/01,26.6745,27.4951,25.6932,25.8031,78351112
9/19/01,25.9216,26.2261,23.9081,25.3548,137862851
9/20/01,24.7879,25.4563,24.3649,24.5088,107375331
9/21/01,23.189,24.5088,23.0113,23.8489,132790963
9/24/01,24.6018,25.3801,24.1873,25.0502,101295531
9/25/01,25.1348,25.7439,24.4918,25.1263,99125607
9/26/01,25.3378,25.3801,24.035,24.255,70637537
9/27/01,24.0265,24.3565,23.1974,24.0942,82801834
9/28/01,24.3988,25.3125,23.9504,24.5172,100248673
10/1/01,24.4072,24.5172,23.5612,24.3057,63192118
10/2/01,24.238,24.881,24.0265,24.3819,87627480
10/3/01,24.0435,26.7422,23.9673,26.2261,160990621
10/4/01,26.776,28.0874,26.1754,26.4799,150556757
10/5/01,26.2261,26.9875,25.6001,26.8691,113998691
10/8/01,26.3361,27.3682,26.1923,26.9537,80129141
10/9/01,26.9537,27.0891,26.1162,26.3023,68043084
10/10/01,26.1162,27.529,26.0146,27.4951,87281716
10/11/01,28.0789,29.8217,28.0366,29.3564,138571404
10/12/01,29.0433,29.441,28.0366,29.2295,132270491
10/15/01,28.8657,29.2295,28.4765,29.1026,92578561
10/16/01,29.3225,29.6948,28.8234,29.5763,96154152
10/17/01,30.3462,30.4562,27.3259,27.4528,167292892
10/18/01,27.6644,28.375,27.4106,28.1973,111640433
10/19/01,27.7997,28.5527,27.0721,28.3835,86801044
10/22/01,28.2904,29.1872,28.1043,29.1449,87593840
10/23/01,29.4579,29.9486,28.7642,29.2971,123004464
10/24/01,29.2718,30.1854,29.0349,29.9316,106585156
10/25/01,29.3564,31.1499,28.9587,31.133,140131374
10/26/01,30.8792,31.3529,30.4646,30.4646,110902447
10/29/01,30.4562,30.5831,28.798,28.798,108919962
10/30/01,28.5188,28.8403,27.7828,28.2396,113583681
10/31/01,28.798,29.5763,28.4934,28.6796,125502091
11/1/01,29.1364,30.0839,28.578,29.8978,109592791
11/2/01,29.8386,30.3293,29.5171,30.1178,76734355
11/5/01,30.6761,31.4375,30.5915,31.0991,76208869
11/6/01,30.9638,32.3174,30.7861,32.3089,126730926
11/7/01,31.8182,32.8588,31.7252,32.2666,109410912
11/8/01,32.6135,33.3326,31.5137,31.9367,125195785
